=== CUT-OFF CSV FILES (data ends before expiry day) ===
Total: 4,740
These CSVs have data, but the last bar is days before the actual expiry date.
The vendor needs to provide additional rows from <last_data_date> to <expiry>.

Format: SYMBOL  STRIKE  OPT  EXPIRY  LAST_DATA  DAYS_MISSING  ROWS  FILEPATH
NIFTY    8800  CE   2016-12-29    2016-11-24     35d   10645  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8800_CE_29_DEC_16.csv
NIFTY    8800  PE   2016-12-29    2016-11-24     35d    8832  Backtesting Options Data/nifty 2014-2024 mid/2016/2016-12-29/NIFTY_8800_PE_29_DEC_16.csv
NIFTY    8700  CE   2017-04-27    2017-03-30     28d    2828  Backtesting Options Data/nifty 2014-2024 mid/2017/2017-04-27/NIFTY_8700_CE_27_APR_17.csv
NIFTY    8750  CE   2017-04-27    2017-03-30     28d      89  Backtesting Options Data/nifty 2014-2024 mid/2017/2017-04-27/NIFTY_8750_CE_27_APR_17.csv
NIFTY    8850  CE   2017-04-27    2017-03-30     28d     552  Backtesting Options Data/nifty 2014-2024 mid/2017/2017-04-27/NIFTY_8850_CE_27_APR_17.csv
NIFTY    8950  CE   2017-04-27    2017-03-30     28d    2235  Backtesting Options Data/nifty 2014-2024 mid/2017/2017-04-27/NIFTY_8950_CE_27_APR_17.csv
NIFTY   10050  CE   2018-02-22    2018-02-20      2d       7  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-02-22/NIFTY_10050_CE_22_FEB_18.csv
NIFTY   10850  PE   2018-03-28    2018-02-22     34d    8881  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-03-28/NIFTY_10850_PE_28_MAR_18.csv
NIFTY   10950  PE   2018-03-28    2018-03-27      1d    8099  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-03-28/NIFTY_10950_PE_28_MAR_18.csv
NIFTY   11050  PE   2018-03-28    2018-03-06     22d    7649  Backtesting Options Data/nifty 2014-2024 mid/2018/2018-03-28/NIFTY_11050_PE_28_MAR_18.csv
